"fit","lwr","upr","NBASalary","No.","Player","Pos.x","Ht","Wt","Birth.Date","X.","Exp","College","playerurls","Salary","Season","Age","Tm","Lg","Pos.y","G","GS","MP","FG","FGA","FGpct","ThreePt","ThreePtAttmpt","ThreePtpct","TwoPt","TwoPtAttmpt","TwoPtpct","eFGpct","FT","FTA","FTpct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","CareerG","CareerGS","CareerMP","CareerFG","CareerFGA","Career3P","Career3PA","Career2P","Career2PA","CareerFT","CareerFTA","CareerORB","CareerDRB","CareerTRB","CareerAST","CareerSTL","CareerBLK","CareerTOV","CareerPF","CareerPTS","PlayoffSeason","PlayoffAge","PlayoffTm","PlayoffLg","PlayoffPos","PlayoffG","PlayoffGS","PlayoffMP","PlayoffFG","PlayoffFGA","PlayoffFGpct","Playoff3P","Playoff3PA","Playoff3Ppct","Playoff2P","Playoff2PA","Playoff2Ppct","PlayoffeFGpct","PlayoffFT","PlayoffFTA","PlayoffFTpct","PlayoffORB","PlayoffDRB","PlayoffTRB","PlayoffAST","PlayoffSTL","PlayoffBLK","PlayoffTOV","PlayoffPF","PlayoffPTS","CareerPlayoffG","CareerPlayoffGS","CareerPlayoffMP","CareerPlayoffFG","CareerPlayoffFGA","CareerPlayoff3P","CareerPlayoff3PA","CareerPlayoff2P","CareerPlayoff2PA","CareerPlayoffFT","CareerPlayoffFTA","CareerPlayoffORB","CareerPlayoffDRB","CareerPlayoffTRB","CareerPlayoffAST","CareerPlayoffSTL","CareerPlayoffBLK","CareerPlayoffTOV","CareerPlayoffPF","CareerPlayoffPTS","Year"
4529095.40616901,3845463.8770406,5212726.93529743,1.7e+07,13,"Joakim Noah","C",6.91666666666667,230,"February 25, 1985","us",9,"University of Florida","http://www.basketball-reference.com/players/n/noahjo01.html",1.7e+07,"2015-16",30,"CHI","NBA","C",29,2,635,51,133,0.383,0,1,0,51,132,0.386,0.383,22,45,0.489,87,168,255,110,18,29,52,77,124,572,465,16848,2030,4141,0,14,2030,4127,1265,1780,1910,3477,5387,1704,481,803,1015,1637,5325,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,2101,228,490,0,0,228,490,123,182,237,422,659,167,58,106,106,218,579,2016
2670801.08751965,2186734.49784113,3154867.67719817,1709720,77,"Joffrey Lauvergne","C",6.91666666666667,220,"September 30, 1991","fr",2,"","http://www.basketball-reference.com/players/l/lauvejo01.html",1709720,"2015-16",24,"DEN","NBA","C",59,15,1041,195,380,0.513,13,53,0.245,182,327,0.557,0.53,62,69,0.899,77,213,290,56,13,15,54,115,465,83,16,1309,231,469,16,69,215,400,80,97,104,263,367,69,21,25,76,158,558,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
4540181.58868424,3979658.76739397,5100704.4099745,12517606,31,"John Henson","C",6.91666666666667,229,"December 28, 1990","us",4,"University of North Carolina","http://www.basketball-reference.com/players/h/hensojo01.html",12517606,"2015-16",25,"MIL","NBA","C",57,1,960,164,291,0.564,0,1,0,164,290,0.566,0.564,69,117,0.59,87,134,221,54,18,109,64,131,397,257,44,4871,866,1612,0,5,866,1607,294,536,498,829,1327,257,106,402,312,551,2026,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,186,27,52,0,2,27,50,5,14,21,35,56,5,7,10,13,19,59,2016
7770923.47011037,7164034.02065181,8377812.91956893,14382022,17,"Jonas Valanciunas","C",7,265,"May 6, 1992","lt",4,"","http://www.basketball-reference.com/players/v/valanjo01.html",14382022,"2015-16",23,"TOR","NBA","C",60,59,1557,303,536,0.565,0,0,0,303,536,0.565,0.565,162,213,0.761,184,363,547,42,25,80,85,158,768,283,277,7417,1239,2230,0,2,1239,2228,723,934,746,1580,2326,183,99,324,424,817,3201,"2015-16",23,"TOR","NBA","C",12,10,321,68,120,0.567,0,0,0,68,120,0.567,0.567,29,39,0.744,48,81,129,11,10,14,18,32,165,23,21,627,118,207,0,0,118,207,50,69,76,158,234,15,12,22,41,61,286,2016
4852881.51180003,4346641.43244777,5359121.59115229,3911380,27,"Jordan Hill","C",6.83333333333333,235,"July 27, 1987","us",7,"University of Arizona","http://www.basketball-reference.com/players/h/hilljo01.html",3911380,"2015-16",28,"IND","NBA","C",73,11,1513,278,549,0.506,0,1,0,278,548,0.507,0.506,89,125,0.712,156,295,451,87,36,37,92,155,645,402,120,7645,1352,2720,3,22,1349,2698,513,735,871,1504,2375,322,149,272,422,866,3220,"2015-16",28,"IND","NBA","C",5,0,15,0,3,0,0,0,0,0,3,0,0,0,0,0,2,4,6,2,0,0,0,1,0,20,0,263,28,66,0,0,28,66,11,16,43,50,93,4,3,10,7,35,67,2016
3632504.84183774,3106167.52515971,4158842.15851577,1921320,23,"Jusuf Nurkic","C",7,280,"August 23, 1994","ba",2,"","http://www.basketball-reference.com/players/n/nurkiju01.html",1921320,"2015-16",21,"DEN","NBA","C",32,3,547,101,242,0.417,0,3,0,101,239,0.423,0.417,61,99,0.616,65,110,175,40,24,44,55,91,263,94,30,1650,272,625,0,5,272,620,145,231,190,367,557,90,76,112,141,298,689,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
6960172.83103758,5715476.83524071,8204868.82683445,5960160,32,"Karl-Anthony Towns","C",7,244,"November 15, 1995","us",1,"University of Kentucky","http://www.basketball-reference.com/players/t/townska01.html",5960160,"2015-16",20,"MIN","NBA","C",82,82,2627,625,1153,0.542,30,88,0.341,595,1065,0.559,0.555,223,275,0.811,228,629,857,161,58,138,183,245,1503,82,82,2627,625,1153,30,88,595,1065,223,275,228,629,857,161,58,138,183,245,1503,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
2975571.8438288,2082913.99524275,3868229.69241485,3094014,41,"Kelly Olynyk","C",7,238,"April 19, 1991","ca",3,"Gonzaga University","http://www.basketball-reference.com/players/o/olynyke01.html",3094014,"2015-16",24,"BOS","NBA","C",69,8,1395,253,556,0.455,85,210,0.405,168,346,0.486,0.531,96,128,0.75,72,209,281,105,52,33,74,163,687,203,30,4218,738,1586,186,499,552,1087,288,386,304,645,949,323,151,99,278,603,1950,"2015-16",24,"BOS","NBA","C",4,0,32,1,9,0.111,0,3,0,1,6,0.167,0.111,0,0,0,2,2,4,3,1,0,4,5,2,8,0,85,8,22,3,9,5,13,1,2,4,5,9,5,3,2,8,17,20,2016
4801643.58843641,4184724.35760932,5418562.81926349,8046500,41,"Kosta Koufos","C",7,265,"February 24, 1989","us",8,"Ohio State University","http://www.basketball-reference.com/players/k/koufoko01.html",8046500,"2015-16",26,"SAC","NBA","C",78,14,1482,236,444,0.532,0,0,0,236,444,0.532,0.532,57,104,0.548,169,254,423,33,40,70,48,185,529,502,153,7959,1239,2343,0,3,1239,2340,332,550,879,1521,2400,189,193,408,342,1012,2810,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,4,331,37,80,1,1,36,79,12,15,43,52,95,9,9,15,11,41,87,2016
2252177.18387685,1746072.29783909,2758282.06991462,1921320,92,"Lucas Nogueira","C",7,241,"July 26, 1992","br",2,"","http://www.basketball-reference.com/players/n/noguelu01.html",1921320,"2015-16",23,"TOR","NBA","C",29,1,225,28,44,0.636,1,3,0.333,27,41,0.659,0.648,8,15,0.533,18,28,46,7,12,12,11,29,65,35,1,248,30,52,1,3,29,49,10,19,20,37,57,8,14,12,13,35,71,"2015-16",23,"TOR","NBA","C",5,0,29,3,4,0.75,0,0,0,3,4,0.75,0.75,0,0,0,1,7,8,0,0,0,0,3,6,5,0,29,3,4,0,0,3,4,0,0,1,7,8,0,0,0,0,3,6,2016
