"fit","lwr","upr","NBASalary","No.","Player","Pos.x","Ht","Wt","Birth.Date","X.","Exp","College","playerurls","Salary","Season","Age","Tm","Lg","Pos.y","G","GS","MP","FG","FGA","FGpct","ThreePt","ThreePtAttmpt","ThreePtpct","TwoPt","TwoPtAttmpt","TwoPtpct","eFGpct","FT","FTA","FTpct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","CareerG","CareerGS","CareerMP","CareerFG","CareerFGA","Career3P","Career3PA","Career2P","Career2PA","CareerFT","CareerFTA","CareerORB","CareerDRB","CareerTRB","CareerAST","CareerSTL","CareerBLK","CareerTOV","CareerPF","CareerPTS","PlayoffSeason","PlayoffAge","PlayoffTm","PlayoffLg","PlayoffPos","PlayoffG","PlayoffGS","PlayoffMP","PlayoffFG","PlayoffFGA","PlayoffFGpct","Playoff3P","Playoff3PA","Playoff3Ppct","Playoff2P","Playoff2PA","Playoff2Ppct","PlayoffeFGpct","PlayoffFT","PlayoffFTA","PlayoffFTpct","PlayoffORB","PlayoffDRB","PlayoffTRB","PlayoffAST","PlayoffSTL","PlayoffBLK","PlayoffTOV","PlayoffPF","PlayoffPTS","CareerPlayoffG","CareerPlayoffGS","CareerPlayoffMP","CareerPlayoffFG","CareerPlayoffFGA","CareerPlayoff3P","CareerPlayoff3PA","CareerPlayoff2P","CareerPlayoff2PA","CareerPlayoffFT","CareerPlayoffFTA","CareerPlayoffORB","CareerPlayoffDRB","CareerPlayoffTRB","CareerPlayoffAST","CareerPlayoffSTL","CareerPlayoffBLK","CareerPlayoffTOV","CareerPlayoffPF","CareerPlayoffPTS","Year"
9985041.62830498,9110935.70379202,10859147.5528179,15890000,7,"Goran Dragic","PG",6.25,190,"May 6, 1986","si",8,"","http://www.basketball-reference.com/players/d/dragigo01.html",15890000,"2015-16",29,"MIA","NBA","PG",72,72,2363,417,875,0.477,64,205,0.312,353,670,0.527,0.513,120,165,0.727,54,223,277,419,71,17,185,188,1018,574,338,15408,2651,5632,582,1638,2069,3994,1264,1688,424,1194,1618,2692,589,111,1256,1312,7148,"2015-16",29,"MIA","NBA","PG",14,14,472,91,206,0.442,16,46,0.348,75,160,0.469,0.481,33,43,0.767,11,58,69,54,6,3,31,46,231,30,14,709,134,306,29,86,105,220,56,74,21,77,98,90,10,4,47,64,353,2016
8250197.52144765,7423081.23322621,9077313.80966909,6587132,4,"Isaiah Thomas","PG",5.75,185,"February 7, 1989","us",5,"University of Washington","http://www.basketball-reference.com/players/t/thomais02.html",6587132,"2015-16",26,"BOS","NBA","PG",82,79,2644,591,1382,0.428,167,465,0.359,424,917,0.462,0.488,474,544,0.871,46,197,243,509,91,9,220,167,1823,365,233,10645,2044,4678,621,1715,1423,2963,1529,1771,203,732,935,1829,361,33,821,790,6238,"2015-16",26,"BOS","NBA","PG",6,6,220,47,119,0.395,13,46,0.283,34,73,0.466,0.45,38,47,0.809,2,16,18,30,4,5,14,18,145,10,6,339,65,173,16,64,49,109,69,79,3,27,30,58,7,5,28,28,215,2016
5938513.29863178,5279061.87956297,6597964.71770059,6e+06,14,"Ish Smith","PG",6,175,"July 5, 1988","us",6,"Wake Forest University","http://www.basketball-reference.com/players/s/smithis01.html",6e+06,"2015-16",27,"TOT","NBA","PG",77,53,2239,397,967,0.411,56,170,0.329,341,797,0.428,0.44,122,176,0.693,43,262,305,502,88,24,175,133,972,323,75,5269,789,1970,89,299,700,1671,200,310,115,562,677,1068,227,56,402,327,1867,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,26,2,4,0,0,2,4,0,0,0,4,4,5,1,1,2,2,4,2016
7168506.30656339,6365397.57374015,7971615.03938663,4540525,1,"Jameer Nelson","PG",6,190,"February 9, 1982","us",12,"Saint Joseph's University","http://www.basketball-reference.com/players/n/nelsoja01.html",4540525,"2015-16",33,"DEN","NBA","PG",39,15,1036,113,307,0.368,43,144,0.299,70,163,0.429,0.438,30,35,0.857,19,96,115,190,25,5,66,100,299,753,600,21481,3427,7844,1006,2737,2421,5107,1146,1408,385,1914,2299,3944,691,56,1636,1917,9006,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,39,1429,237,532,73,196,164,336,114,144,26,128,154,204,37,3,90,130,661,2016
14486462.376764,12802409.4210823,16170515.3324457,26540100,13,"James Harden","PG",6.41666666666667,220,"August 26, 1989","us",7,"Arizona State University","http://www.basketball-reference.com/players/h/hardeja01.html",26540100,"2015-16",26,"HOU","NBA","SG",82,82,3125,710,1617,0.439,236,657,0.359,474,960,0.494,0.512,720,837,0.86,63,438,501,612,139,51,374,229,2376,534,321,17741,3331,7520,1120,3045,2211,4475,3480,4070,380,2054,2434,2620,784,237,1604,1349,11262,"2015-16",26,"HOU","NBA","SG",5,5,193,41,100,0.41,13,42,0.31,28,58,0.483,0.475,38,45,0.844,7,19,26,38,12,1,26,13,133,77,34,2622,436,1026,146,417,290,609,489,564,53,346,399,368,122,31,224,230,1507,2016
7094653.8478372,6084944.63651748,8104363.05915693,8800000,44,"Jeff Teague","PG",6.16666666666667,186,"June 10, 1988","us",7,"Wake Forest University","http://www.basketball-reference.com/players/t/teaguje01.html",8800000,"2015-16",27,"ATL","NBA","PG",79,78,2255,434,988,0.439,110,275,0.4,324,713,0.454,0.495,261,312,0.837,33,181,214,470,97,24,218,167,1239,518,383,13518,2280,5092,420,1184,1860,3908,1311,1564,159,955,1114,2671,613,173,1133,954,6291,"2015-16",27,"ATL","NBA","PG",10,10,279,46,121,0.38,9,36,0.25,37,85,0.435,0.417,44,52,0.846,3,16,19,62,6,2,25,30,145,62,51,1785,289,719,52,167,237,552,193,222,25,129,154,291,60,24,125,127,823,2016
5749643.33597256,5346144.62826897,6153142.04367615,11483254,7,"Jeremy Lin","PG",6.25,200,"August 23, 1988","us",6,"Harvard University","http://www.basketball-reference.com/players/l/linje01.html",11483254,"2015-16",27,"CHO","NBA","SG",78,13,2048,300,728,0.412,76,226,0.336,224,502,0.446,0.464,238,292,0.815,42,211,253,235,58,42,150,165,914,369,183,9874,1467,3396,335,968,1132,2428,1050,1308,164,860,1024,1623,430,148,872,834,4319,"2015-16",27,"CHO","NBA","SG",7,0,189,26,63,0.413,3,14,0.214,23,49,0.469,0.437,32,39,0.821,3,13,16,18,5,0,11,21,87,17,3,450,57,148,10,49,47,99,47,57,10,36,46,52,10,2,32,45,171,2016
1070051.38089008,624262.711981848,1515840.04979832,1643040,2,"Jerian Grant","PG",6.33333333333333,195,"October 9, 1992","us",1,"University of Notre Dame","http://www.basketball-reference.com/players/g/grantje02.html",1643040,"2015-16",23,"NYK","NBA","PG",76,6,1265,154,391,0.394,22,100,0.22,132,291,0.454,0.422,96,123,0.78,23,120,143,177,50,10,87,97,426,76,6,1265,154,391,22,100,132,291,96,123,23,120,143,177,50,10,87,97,426,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
3632849.33813253,3145507.77205057,4120190.90421449,9424084,0,"Jerryd Bayless","PG",6.25,200,"August 20, 1988","us",8,"University of Arizona","http://www.basketball-reference.com/players/b/bayleje01.html",9424084,"2015-16",27,"MIL","NBA","SG",52,18,1505,185,437,0.423,101,231,0.437,84,206,0.408,0.539,70,90,0.778,21,120,141,163,47,11,73,111,541,510,81,10833,1517,3656,414,1133,1103,2523,912,1106,147,934,1081,1488,329,65,738,1055,4360,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2,617,91,243,26,82,65,161,57,70,9,53,62,73,11,8,29,68,265,2016
4409131.0910827,3993687.69915629,4824574.48300911,4096950,5,"J.J. Barea","PG",6,185,"June 26, 1984","pr",10,"Northeastern University","http://www.basketball-reference.com/players/b/bareajo01.html",4096950,"2015-16",31,"DAL","NBA","PG",74,16,1667,317,711,0.446,100,260,0.385,217,451,0.481,0.516,74,96,0.771,26,126,152,302,26,2,113,110,808,660,85,12711,2141,5060,581,1656,1560,3404,733,921,206,1109,1315,2320,255,17,948,978,5596,"2015-16",31,"DAL","NBA","PG",4,2,100,11,34,0.324,1,8,0.125,10,26,0.385,0.338,2,2,1,0,6,6,20,0,0,11,8,25,49,11,979,157,375,32,102,125,273,44,60,20,81,101,178,15,1,64,80,390,2016
